City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,81.3,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
9,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
13,Rikitea,PF,78.12,light rain,-23.1203,-134.9692,People ThankYou
16,Waingapu,ID,79.27,light rain,-9.6567,120.2641,Pondok Wisata Elim
24,Itarema,BR,79.09,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
26,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,Kariba,ZW,74.14,broken clouds,-16.5167,28.8,Caribbea Bay Hotel
33,Georgetown,MY,79.95,few clouds,5.4112,100.3354,Cititel Penang
35,Sao Jose Da Coroa Grande,BR,81.25,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
37,Isangel,VU,83.28,clear sky,-19.55,169.2667,Tanna Lodge
38,Alenquer,BR,77.14,overcast clouds,-1.9417,-54.7383,Detinha Hotel
42,Faanui,PF,82.13,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
43,Arlit,NE,79.41,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
50,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
56,Wanning,CN,76.62,overcast clouds,18.8003,110.3967,Paradise Hotel
61,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
62,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
63,Pangkalanbuun,ID,72.18,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
65,Gainesville,US,86.11,few clouds,29.6516,-82.3248,Wyndham Garden Gainesville
67,Sterling,US,79.66,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
72,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
