City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zhigansk,RU,66.7697,123.3711,-1.71,100,87,8.25,overcast clouds
1,Katsuura,JP,35.1333,140.3,55.78,63,99,9.82,overcast clouds
2,Lasa,IT,46.6166,10.7002,45.48,90,39,6.87,scattered clouds
3,Butaritari,KI,3.0707,172.7902,81.3,78,29,14.32,scattered clouds
4,Awbari,LY,26.5921,12.7805,68.29,29,0,15.99,clear sky
5,Constitucion,CL,-35.3333,-72.4167,57.43,73,4,7.29,clear sky
6,Tiksi,RU,71.6872,128.8694,-7.42,97,60,4.36,broken clouds
7,Port Lincoln,AU,-34.7333,135.8667,64.94,88,100,9.62,overcast clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,66,20,5.75,few clouds
9,Kapaa,US,22.0752,-159.319,80.58,83,20,18.41,few clouds
10,Ilulissat,GL,69.2167,-51.1,15.82,67,75,9.22,light shower snow
11,Luderitz,NA,-26.6481,15.1594,63.61,58,0,12.64,clear sky
12,Mount Isa,AU,-20.7333,139.5,74.97,31,10,0.0,clear sky
13,Rikitea,PF,-23.1203,-134.9692,78.12,70,5,13.04,light rain
14,Ushuaia,AR,-54.8,-68.3,39.06,76,80,3.18,broken clouds
15,Bethel,US,41.3712,-73.414,64.49,73,100,8.99,light rain
16,Waingapu,ID,-9.6567,120.2641,79.27,87,73,6.11,light rain
17,Punta Arenas,CL,-53.15,-70.9167,44.71,81,40,6.91,scattered clouds
18,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,67,0,14.97,clear sky
19,Chute-Aux-Outardes,CA,49.1168,-68.399,39.18,75,75,13.8,broken clouds
20,Mataura,NZ,-46.1927,168.8643,48.33,70,74,3.49,broken clouds
21,Kaitong,CN,44.8135,123.15,43.12,30,67,9.33,broken clouds
22,Ankang,CN,32.68,109.0172,45.7,88,100,1.28,overcast clouds
23,Severo-Kurilsk,RU,50.6789,156.125,31.66,75,100,13.04,overcast clouds
24,Itarema,BR,-2.9248,-39.9167,79.09,82,57,6.93,broken clouds
25,Esperance,AU,-33.8667,121.9,58.84,71,85,12.93,overcast clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,79,7.85,broken clouds
27,Nuuk,GL,64.1835,-51.7216,27.21,63,13,9.22,few clouds
28,Hobart,AU,-42.8794,147.3294,59.25,89,0,3.44,clear sky
29,Katete,UG,-0.7818,29.7544,62.33,96,100,1.72,overcast clouds
30,Kariba,ZW,-16.5167,28.8,74.14,68,82,4.12,broken clouds
31,Coihaique,CL,-45.5752,-72.0662,57.81,66,0,3.44,clear sky
32,Lata,PT,40.1629,-8.3327,51.57,93,20,1.59,few clouds
33,Georgetown,MY,5.4112,100.3354,79.95,94,20,2.3,few clouds
34,Muroto,JP,33.2833,134.15,57.15,50,100,4.47,overcast clouds
35,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,81.25,83,6,10.76,clear sky
36,Saskylakh,RU,71.9167,114.0833,13.14,93,99,17.0,overcast clouds
37,Isangel,VU,-19.55,169.2667,83.28,70,9,4.59,clear sky
38,Alenquer,BR,-1.9417,-54.7383,77.14,90,91,1.5,overcast clouds
39,Busselton,AU,-33.65,115.3333,55.62,76,16,9.19,few clouds
40,Bijie,CN,27.3125,105.2942,42.67,95,100,5.32,light rain
41,Yandyki,RU,45.7691,47.1258,51.87,73,8,6.13,clear sky
42,Faanui,PF,-16.4833,-151.75,82.13,71,8,15.37,clear sky
43,Arlit,NE,18.7369,7.3853,79.41,10,100,9.33,overcast clouds
44,Leh,IN,34.1667,77.5833,34.23,45,0,5.41,clear sky
45,Port Alfred,ZA,-33.5906,26.891,61.18,88,100,1.01,overcast clouds
46,Nikolskoye,RU,59.7035,30.7861,35.8,82,68,2.8,broken clouds
47,Taltal,CL,-25.4,-70.4833,63.72,73,24,7.18,few clouds
48,Erzin,TR,36.9559,36.2,58.84,58,11,3.33,few clouds
49,Minas De Barroteran,MX,27.6333,-101.2833,97.23,28,63,10.09,broken clouds
50,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,75,8.05,light rain
51,Albany,US,42.6001,-73.9662,40.64,89,100,2.01,moderate rain
52,Haines Junction,CA,60.7522,-137.5108,39.15,38,100,4.61,overcast clouds
53,Thinadhoo,MV,0.5333,72.9333,83.01,70,15,8.41,few clouds
54,Skjervoy,NO,70.0311,20.9714,46.4,86,100,36.13,overcast clouds
55,Norman Wells,CA,65.282,-126.8329,16.41,69,84,3.56,broken clouds
56,Wanning,CN,18.8003,110.3967,76.62,84,100,6.11,overcast clouds
57,Torbay,CA,47.6666,-52.7314,51.76,47,40,28.77,scattered clouds
58,Jamestown,US,42.097,-79.2353,45.52,39,20,17.27,few clouds
59,Usinsk,RU,65.9939,57.5281,13.86,95,43,4.54,scattered clouds
60,Cherskiy,RU,68.75,161.3,18.84,92,100,9.4,light snow
61,Vaini,TO,-21.2,-175.2,84.36,79,40,6.91,scattered clouds
62,San Andres,CO,12.5847,-81.7006,84.22,70,20,10.36,few clouds
63,Pangkalanbuun,ID,-2.6833,111.6167,72.18,95,87,2.04,overcast clouds
64,Bluff,NZ,-46.6,168.3333,48.29,73,94,7.52,overcast clouds
65,Gainesville,US,29.6516,-82.3248,86.11,56,20,3.44,few clouds
66,Bredasdorp,ZA,-34.5322,20.0403,58.41,75,0,11.36,clear sky
67,Sterling,US,39.0062,-77.4286,79.66,47,75,6.91,broken clouds
68,Chokurdakh,RU,70.6333,147.9167,-3.41,99,100,2.91,overcast clouds
69,Sharkan,RU,57.2989,53.8712,28.58,78,96,1.23,overcast clouds
70,Qaanaaq,GL,77.484,-69.3632,-13.49,79,47,5.57,scattered clouds
71,New Norfolk,AU,-42.7826,147.0587,58.91,75,100,2.42,overcast clouds
72,Hilo,US,19.7297,-155.09,76.28,94,100,5.01,light rain
73,Broken Hill,AU,-31.95,141.4333,68.41,38,0,16.51,clear sky
74,Cairns,AU,-16.9167,145.7667,76.95,73,100,8.05,overcast clouds
75,Cidreira,BR,-30.1811,-50.2056,65.97,71,100,7.58,overcast clouds
76,Aranda De Duero,ES,41.6704,-3.6892,50.56,62,0,5.08,clear sky
77,Sao Filipe,CV,14.8961,-24.4956,71.01,79,36,9.78,scattered clouds
78,Kang,BW,-23.6752,22.7876,62.38,82,81,13.67,broken clouds
79,Saurimo,AO,-9.6608,20.3916,64.98,97,87,2.91,light rain
80,Dikson,RU,73.5069,80.5464,10.58,93,100,15.68,overcast clouds
81,Cape Town,ZA,-33.9258,18.4232,59.92,70,0,14.0,clear sky
82,Kattivakkam,IN,13.2167,80.3167,86.09,84,32,7.9,scattered clouds
83,Te Anau,NZ,-45.4167,167.7167,45.12,77,97,1.32,overcast clouds
84,Yinchuan,CN,38.4681,106.2731,46.11,58,100,8.77,overcast clouds
85,Pevek,RU,69.7008,170.3133,6.94,92,100,6.53,overcast clouds
86,Taoudenni,ML,22.6783,-3.9836,79.5,19,0,10.58,clear sky
87,Tasiilaq,GL,65.6145,-37.6368,35.76,97,100,13.02,light rain
88,Tshela,CD,-4.9833,12.9333,73.51,99,58,0.76,broken clouds
89,Leningradskiy,RU,69.3833,178.4167,8.44,92,64,8.79,broken clouds
90,Ouesso,CG,1.6136,16.0517,75.79,81,98,1.72,light rain
91,Zavyalovo,RU,54.5053,82.4484,46.47,58,47,12.62,scattered clouds
92,Kapoeta,SS,4.7717,33.5903,70.88,81,95,1.61,overcast clouds
93,Severomorsk,RU,69.0689,33.4162,39.6,88,100,20.31,overcast clouds
94,Avarua,CK,-21.2078,-159.775,78.85,83,75,11.5,broken clouds
95,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,8.05,broken clouds
96,Hermanus,ZA,-34.4187,19.2345,57.79,77,2,17.56,clear sky
