City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2022-04-12 11:33:38,-34.5322,20.0403,85.51,29,0,10.0
1,Punta Arenas,CL,2022-04-12 11:30:46,-53.15,-70.9167,46.51,76,20,37.98
2,Edgewood,US,2022-04-12 11:33:38,39.4187,-76.2944,52.56,88,100,0.0
3,Praia Da Vitoria,PT,2022-04-12 11:33:39,38.7333,-27.0667,64.65,88,20,8.88
4,Padang,ID,2022-04-12 11:33:39,-0.9492,100.3543,84.25,84,71,1.92
5,Ushuaia,AR,2022-04-12 11:29:04,-54.8,-68.3,47.86,53,40,11.5
6,Mataura,NZ,2022-04-12 11:33:40,-46.1927,168.8643,49.48,83,60,3.87
7,Bambous Virieux,MU,2022-04-12 11:33:40,-20.3428,57.7575,83.21,89,40,14.97
8,Cap Malheureux,MU,2022-04-12 11:33:40,-19.9842,57.6142,83.46,74,1,8.99
9,Chuy,UY,2022-04-12 11:33:41,-33.6971,-53.4616,64.56,79,20,9.84
10,Tasiilaq,GL,2022-04-12 11:33:41,65.6145,-37.6368,23.16,67,100,2.8
11,Adrar,MR,2022-04-12 11:33:42,20.5022,-10.0711,92.46,6,100,10.78
12,Komsomolskiy,UZ,2022-04-12 11:33:42,40.4272,71.7189,81.32,29,86,9.22
13,Tiksi,RU,2022-04-12 11:33:43,71.6872,128.8694,-12.8,100,93,4.34
14,Thompson,CA,2022-04-12 11:30:34,55.7435,-97.8558,26.76,86,100,12.66
15,Rikitea,PF,2022-04-12 11:33:43,-23.1203,-134.9692,78.96,70,14,18.12
16,Flinders,AU,2022-04-12 11:33:44,-34.5833,150.8552,61.18,85,92,4.0
17,Saint-Philippe,RE,2022-04-12 11:33:44,-21.3585,55.7679,80.19,84,82,16.78
18,Lagoa,PT,2022-04-12 11:33:45,39.05,-27.9833,59.79,88,94,16.58
19,Busselton,AU,2022-04-12 11:33:45,-33.65,115.3333,62.56,67,0,15.52
20,Oistins,BB,2022-04-12 11:33:46,13.0667,-59.5333,78.89,69,20,14.97
21,Bluff,NZ,2022-04-12 11:33:46,-46.6,168.3333,49.8,60,75,22.66
22,Touros,BR,2022-04-12 11:30:14,-5.1989,-35.4608,83.61,65,98,9.75
23,Ponta Do Sol,PT,2022-04-12 11:33:47,32.6667,-17.1,70.72,67,84,8.43
24,Bethel,US,2022-04-12 11:33:48,41.3712,-73.414,51.01,76,95,3.0
25,Antofagasta,CL,2022-04-12 11:33:48,-23.65,-70.4,58.28,71,28,6.11
26,Puerto Ayora,EC,2022-04-12 11:33:49,-0.7393,-90.3518,76.55,97,95,4.0
27,Niksic,ME,2022-04-12 11:33:49,42.7731,18.9445,55.67,48,9,3.06
28,Monte Alegre,BR,2022-04-12 11:33:50,-2.0078,-54.0692,76.64,91,82,5.1
29,Hermanus,ZA,2022-04-12 11:33:50,-34.4187,19.2345,80.8,57,1,7.52
30,Inhambane,MZ,2022-04-12 11:33:50,-23.865,35.3833,87.78,62,20,9.22
31,Batagay,RU,2022-04-12 11:33:51,67.6333,134.6333,7.39,94,100,1.99
32,Saskylakh,RU,2022-04-12 11:33:51,71.9167,114.0833,-10.28,100,86,1.45
33,Ostrovnoy,RU,2022-04-12 11:33:52,68.0531,39.5131,35.02,85,58,19.3
34,Porto Novo,BJ,2022-04-12 11:33:52,6.4965,2.6036,89.42,53,99,10.13
35,Charters Towers,AU,2022-04-12 11:33:53,-20.1,146.2667,72.82,75,77,12.44
36,Mount Isa,AU,2022-04-12 11:33:53,-20.7333,139.5,78.57,31,44,0.0
37,Upernavik,GL,2022-04-12 11:33:53,72.7868,-56.1549,13.46,94,100,9.13
38,Sakaiminato,JP,2022-04-12 11:33:54,35.55,133.2333,66.13,82,20,4.61
39,Cape Town,ZA,2022-04-12 11:30:24,-33.9258,18.4232,85.26,36,0,6.91
40,Souillac,MU,2022-04-12 11:33:54,-20.5167,57.5167,79.18,89,40,14.97
41,Khatanga,RU,2022-04-12 11:33:55,71.9667,102.5,3.29,94,99,7.43
42,Berlevag,NO,2022-04-12 11:33:55,70.8578,29.0864,33.75,75,75,26.46
43,Tazovskiy,RU,2022-04-12 11:33:56,67.4667,78.7,34.57,100,100,12.03
44,Bud,US,2022-04-12 11:33:56,39.447,-86.1758,50.9,97,16,6.6
45,Castro,BR,2022-04-12 11:33:57,-24.7911,-50.0119,68.81,87,98,8.99
46,Saint Anthony,US,2022-04-12 11:30:09,45.0205,-93.218,44.11,62,0,10.36
47,Ulladulla,AU,2022-04-12 11:34:57,-35.35,150.4667,59.9,78,96,5.97
48,Coahuayana,MX,2022-04-12 11:34:58,18.7333,-103.6833,71.15,64,12,1.86
49,Vaini,TO,2022-04-12 11:34:58,-21.2,-175.2,77.16,94,75,10.36
50,Thohoyandou,ZA,2022-04-12 11:34:59,-22.9456,30.485,86.97,34,5,4.7
51,Ilulissat,GL,2022-04-12 11:34:59,69.2167,-51.1,26.62,54,75,5.75
52,Sibolga,ID,2022-04-12 11:35:00,1.7427,98.7792,78.98,86,62,0.85
53,Hobart,AU,2022-04-12 11:31:28,-42.8794,147.3294,58.01,68,75,4.61
54,Dognecea,RO,2022-04-12 11:35:00,45.2742,21.7569,57.33,45,2,7.09
55,Port Alfred,ZA,2022-04-12 11:35:00,-33.5906,26.891,69.19,83,100,5.99
56,Anloga,GH,2022-04-12 11:35:01,5.7947,0.8973,85.82,72,80,12.68
57,Albany,US,2022-04-12 11:35:02,42.6001,-73.9662,50.38,86,100,11.36
58,Tuktoyaktuk,CA,2022-04-12 11:35:02,69.4541,-133.0374,-3.03,97,55,9.93
59,Burnie,AU,2022-04-12 11:35:03,-41.0667,145.9167,57.92,84,89,7.11
60,Vestmanna,FO,2022-04-12 11:35:03,62.1564,-7.1664,40.12,93,100,21.85
61,Flexeiras,BR,2022-04-12 11:35:04,-9.1975,-35.7808,78.57,65,96,2.1
62,Kloulklubed,PW,2022-04-12 11:35:05,7.0419,134.2556,81.1,78,93,19.91
63,Labrea,BR,2022-04-12 11:35:05,-7.2586,-64.7981,76.93,86,100,2.24
64,Kapaa,US,2022-04-12 11:35:06,22.0752,-159.319,73.72,94,100,13.8
65,Tocopilla,CL,2022-04-12 11:31:53,-22.092,-70.1979,64.96,67,18,6.26
66,Isangel,VU,2022-04-12 11:35:07,-19.55,169.2667,78.87,83,19,4.94
67,Nyurba,RU,2022-04-12 11:35:07,63.2842,118.3319,21.83,96,100,2.98
68,Okhotsk,RU,2022-04-12 11:35:07,59.3833,143.3,15.55,93,62,3.18
69,Faya,SA,2022-04-12 11:35:08,18.3851,42.4509,82.51,25,35,13.11
70,Mahebourg,MU,2022-04-12 11:35:09,-20.4081,57.7,83.25,89,40,14.97
71,Puerto Escondido,MX,2022-04-12 11:35:09,15.85,-97.0667,77.83,78,0,0.0
72,Amazar,RU,2022-04-12 11:35:10,53.858,120.875,24.62,80,99,3.67
73,Yar-Sale,RU,2022-04-12 11:35:11,66.8333,70.8333,36.41,100,100,17.94
74,Bengkulu,ID,2022-04-12 11:35:11,-3.8004,102.2655,80.31,78,11,2.91
75,Jamestown,US,2022-04-12 11:35:12,42.097,-79.2353,44.24,73,40,5.75
76,Sawakin,SD,2022-04-12 11:35:12,19.1059,37.3321,87.94,59,0,13.51
77,Qaanaaq,GL,2022-04-12 11:35:13,77.484,-69.3632,-0.99,75,83,1.41
78,Mount Gambier,AU,2022-04-12 11:35:13,-37.8333,140.7667,46.31,81,4,8.05
79,Palana,RU,2022-04-12 11:35:13,59.1167,159.9667,11.53,88,100,13.49
80,San Cristobal,VE,2022-04-12 11:35:14,7.7669,-72.225,66.38,61,64,2.82
81,Hithadhoo,MV,2022-04-12 11:35:14,-0.6,73.0833,84.13,67,51,11.65
82,Honningsvag,NO,2022-04-12 11:35:15,70.9821,25.9704,33.55,64,75,19.57
83,Celestun,MX,2022-04-12 11:35:15,20.8667,-90.4,75.06,88,19,16.08
84,Yibin,CN,2022-04-12 11:35:16,28.7667,104.6238,68.52,76,94,2.35
85,Avarua,CK,2022-04-12 11:35:17,-21.2078,-159.775,77.05,94,75,2.3
86,Saint George,US,2022-04-12 11:31:01,37.1041,-113.5841,47.62,30,20,13.0
87,Provideniya,RU,2022-04-12 11:35:17,64.3833,-173.3,19.62,91,100,16.91
88,Narsaq,GL,2022-04-12 11:35:18,60.9167,-46.05,39.42,36,75,15.77
89,Hamilton,US,2022-04-12 11:35:18,39.1834,-84.5333,52.99,95,100,5.75
90,Fukue,JP,2022-04-12 11:36:19,32.6881,128.8419,66.18,86,4,4.45
91,Chiredzi,ZW,2022-04-12 11:36:19,-21.05,31.6667,84.36,48,53,2.21
92,Jenjarom,MY,2022-04-12 11:36:20,2.8766,101.4988,86.14,83,96,3.98
93,Kavieng,PG,2022-04-12 11:36:20,-2.5744,150.7967,82.63,72,22,10.65
94,Butaritari,KI,2022-04-12 11:36:21,3.0707,172.7902,81.18,76,70,11.56
95,Lompoc,US,2022-04-12 11:36:21,34.6391,-120.4579,47.57,65,0,13.0
96,Hofn,IS,2022-04-12 11:36:21,64.2539,-15.2082,39.22,60,40,23.02
97,Novobiryusinskiy,RU,2022-04-12 11:36:22,56.9578,97.7076,28.47,84,81,1.05
98,Avera,US,2022-04-12 11:36:23,33.194,-82.5271,53.11,76,28,4.41
99,Najran,SA,2022-04-12 11:36:23,17.4924,44.1277,97.45,9,0,15.66
100,Vanimo,PG,2022-04-12 11:36:23,-2.6741,141.3028,79.93,87,15,7.16
